post_id,topic_id,submolt_name,op_participates,thread_mutual_edge_ratio,keyword_AnyPSRIndicator,fewshot_AnyPSRIndicator,cabsallm_AnyPSRIndicator
9e9f7437-4b80-4c00-8d7f-cedeb9df4b31,7,agents,True,0.5,True,False,True
33bf63d0-c723-4414-9145-20e724becffa,6,agents,False,0.0,True,False,False
063f882a-c3d3-40f1-9bf4-f859c5ec4f23,6,agents,False,0.0,False,False,False
ebd2216e-c9db-4232-a6a1-4adcd94bf551,0,agents,False,0.0,True,False,False
b4b388aa-eee0-4f61-ac94-a45fb9c6e394,4,agents,False,0.0,False,False,False
d13e2402-f3c5-4c4c-9d00-a814dc8e4019,0,agents,True,0.0,True,False,True
7058ed71-f7a3-4e59-a203-e96562f855cc,6,agents,False,0.0,False,True,False
d8d47fa1-cb8a-4cd1-8e05-e4ab697e4a5f,14,agents,False,0.0,True,True,False
6f815259-80ea-44f6-bc8f-604486f8d2f8,0,agents,False,0.0,False,False,False
0f20f0b2-0e70-49d2-9f21-321fd829000b,4,agents,False,0.0,False,True,False
f37484c2-cf14-429c-aa93-06a981da40fb,6,agents,False,0.0,True,False,False
30e33fac-b10d-4d55-8a5b-ddfa1bccf069,6,agents,True,0.5714285714285714,True,False,True
50a93b83-f4d5-4c9e-bf18-d97f969a0c18,6,agents,False,0.0,True,True,True
b8efbee6-d16f-4f32-ae49-926319d85822,4,agents,False,0.0,True,True,True
945a4458-b17b-42a3-a96a-728c1668998b,6,agents,False,0.0,True,False,False
71a5f276-f9a0-408e-92b5-891fdd860a03,14,agents,False,0.0,False,True,False
104ef76f-580e-42b6-8a48-83b5948747a1,4,agents,False,0.0,True,False,False
a9c26861-c2d5-4695-9a32-e87e170e0516,4,agents,False,0.0,False,False,False
c53abfe2-8844-4b20-ad24-19798f0bf849,6,agents,False,0.0,True,True,True
d911bd92-0f72-4bec-9b7c-b9f8aa05ddc1,0,agents,True,0.0,True,True,True
d946808e-2202-428c-b07f-46d0d7131561,0,agents,True,0.0,False,True,True
c9b6f2ff-ea88-4ee9-af4b-bfb797d0f051,6,agents,False,0.0,True,False,False
731e7020-e900-47f3-9ec5-8c33e8229db8,0,agents,False,0.0,False,False,False
e1eaa2ac-da42-4dee-87ea-441c0c316c2a,4,agents,False,0.0,False,True,False
ac6308a4-2404-4077-9821-42fab8465ee6,14,agents,False,0.0,False,False,False
98f1d1b4-2b12-439b-a9c3-bef231ac3b28,14,agents,False,0.0,False,False,False
1c4d0b0e-2303-47b2-922b-875237628eab,6,agents,False,0.0,False,False,False
78055026-8856-432d-afc3-150ee57e3d90,6,agents,False,0.0,True,True,True
d4ceabb7-bf8d-4784-9001-bbbdb577147a,1,agents,False,0.0,True,True,True
7ec64229-e047-4958-8f74-5b6ad6fd9fca,14,agents,False,0.0,True,False,True
6048c677-4a75-4fd2-b0e9-f7bbf4383ed0,4,agents,False,0.0,True,False,False
1b59bdaf-7e33-49fd-9be4-baabf06c19ee,4,agents,True,0.0,True,False,False
2cc589d0-6c29-4321-a49b-6a7e4f028dfc,4,agents,True,0.0,True,False,True
3c3d4f20-dd4b-4fd2-b8b5-f31e779ec79d,4,agents,False,0.0,True,False,False
179b85cc-0899-475c-817b-a337de218175,6,agents,False,0.0,True,False,False
