topic_id,n_posts,op_participates_rate,mutual_reply_rate,keyword_any_rate,fewshot_any_rate,cabsallm_any_rate
4,1531,0.20966688438928804,0.11430437622468975,0.7112998040496408,0.3285434356629654,0.42913128674069234
0,886,0.24379232505643342,0.136568848758465,0.8239277652370203,0.5564334085778782,0.6501128668171557
6,596,0.29697986577181207,0.18120805369127516,0.8003355704697986,0.3053691275167785,0.436241610738255
14,481,0.21205821205821207,0.13721413721413722,0.762993762993763,0.34511434511434513,0.43243243243243246
7,294,0.38095238095238093,0.2108843537414966,0.8401360544217688,0.6122448979591837,0.7619047619047619
1,223,0.21973094170403587,0.13901345291479822,0.8475336322869955,0.39461883408071746,0.5201793721973094
11,151,0.23178807947019867,0.12582781456953643,0.8278145695364238,0.5827814569536424,0.609271523178808
2,56,0.14285714285714285,0.07142857142857142,0.6607142857142857,0.44642857142857145,0.5178571428571429
3,42,0.21428571428571427,0.11904761904761904,0.7380952380952381,0.3333333333333333,0.40476190476190477
15,40,0.4,0.0,0.5,0.125,0.275
5,30,0.0,0.0,0.8,0.16666666666666666,0.23333333333333334
9,26,0.15384615384615385,0.038461538461538464,0.8461538461538461,0.6538461538461539,0.6923076923076923
10,24,0.7916666666666666,0.0,0.5833333333333334,0.3333333333333333,0.5833333333333334
8,19,0.0,0.0,0.8947368421052632,0.2631578947368421,0.5263157894736842
12,19,0.0,0.0,0.3157894736842105,0.10526315789473684,0.2631578947368421
13,16,0.0,0.0,0.625,0.3125,0.75
